Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Testy,Chrome 74.0.3729.157,,2019-05-15 13:41:52,2019-05-15 13:42:07,15.155s,FAILED
,,,,,,
Test Cases/Ignite Test,Chrome 74.0.3729.157,,2019-05-15 13:41:52,2019-05-15 13:41:56,3.636s,PASSED
"openBrowser(""dev-aim.clearlink.com"")",Chrome 74.0.3729.157,,2019-05-15 13:41:53,2019-05-15 13:41:56,3.404s,PASSED
,,,,,,
Test Cases/New Test Case,Chrome 74.0.3729.157,,2019-05-15 13:41:56,2019-05-15 13:42:03,7.234s,FAILED
"openBrowser(""www.ksl.com"")",Chrome 74.0.3729.157,,2019-05-15 13:41:56,2019-05-15 13:42:02,6.294s,PASSED
clickImage(findTestObject(null)),Chrome 74.0.3729.157,,2019-05-15 13:42:02,2019-05-15 13:42:03,0.819s,FAILED
,,,,,,
Test Cases/Ignite Test,Chrome 74.0.3729.157,,2019-05-15 13:42:03,2019-05-15 13:42:07,3.966s,PASSED
"openBrowser(""dev-aim.clearlink.com"")",Chrome 74.0.3729.157,,2019-05-15 13:42:03,2019-05-15 13:42:07,3.958s,PASSED
