Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Testy,Chrome 74.0.3729.157,,2019-05-16 09:11:59,2019-05-16 09:12:14,14.776s,FAILED
,,,,,,
Test Cases/Ignite Test,Chrome 74.0.3729.157,,2019-05-16 09:11:59,2019-05-16 09:12:02,2.933s,PASSED
"openBrowser(""dev-aim.clearlink.com"")",Chrome 74.0.3729.157,,2019-05-16 09:11:59,2019-05-16 09:12:02,2.697s,PASSED
,,,,,,
Test Cases/New Test Case,Chrome 74.0.3729.157,,2019-05-16 09:12:02,2019-05-16 09:12:10,8.242s,FAILED
"openBrowser(""www.ksl.com"")",Chrome 74.0.3729.157,,2019-05-16 09:12:02,2019-05-16 09:12:09,6.697s,PASSED
clickImage(findTestObject(null)),Chrome 74.0.3729.157,,2019-05-16 09:12:09,2019-05-16 09:12:10,1.450s,FAILED
,,,,,,
Test Cases/Ignite Test,Chrome 74.0.3729.157,,2019-05-16 09:12:10,2019-05-16 09:12:14,3.341s,PASSED
"openBrowser(""dev-aim.clearlink.com"")",Chrome 74.0.3729.157,,2019-05-16 09:12:10,2019-05-16 09:12:14,3.335s,PASSED
