Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Testy,Chrome 74.0.3729.157,,2019-05-15 14:56:12,2019-05-15 14:56:28,15.594s,FAILED
,,,,,,
Test Cases/Ignite Test,Chrome 74.0.3729.157,,2019-05-15 14:56:12,2019-05-15 14:56:15,2.918s,PASSED
"openBrowser(""dev-aim.clearlink.com"")",Chrome 74.0.3729.157,,2019-05-15 14:56:13,2019-05-15 14:56:15,2.661s,PASSED
,,,,,,
Test Cases/New Test Case,Chrome 74.0.3729.157,,2019-05-15 14:56:15,2019-05-15 14:56:25,9.546s,FAILED
"openBrowser(""www.ksl.com"")",Chrome 74.0.3729.157,,2019-05-15 14:56:15,2019-05-15 14:56:24,8.968s,PASSED
clickImage(findTestObject(null)),Chrome 74.0.3729.157,,2019-05-15 14:56:24,2019-05-15 14:56:25,0.443s,FAILED
,,,,,,
Test Cases/Ignite Test,Chrome 74.0.3729.157,,2019-05-15 14:56:25,2019-05-15 14:56:28,2.834s,PASSED
"openBrowser(""dev-aim.clearlink.com"")",Chrome 74.0.3729.157,,2019-05-15 14:56:25,2019-05-15 14:56:28,2.827s,PASSED
