Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Testy,Chrome 74.0.3729.157,,2019-05-15 15:23:27,2019-05-15 15:23:44,16.505s,FAILED
,,,,,,
Test Cases/Ignite Test,Chrome 74.0.3729.157,,2019-05-15 15:23:27,2019-05-15 15:23:32,4.817s,PASSED
"openBrowser(""dev-aim.clearlink.com"")",Chrome 74.0.3729.157,,2019-05-15 15:23:28,2019-05-15 15:23:32,4.367s,PASSED
,,,,,,
Test Cases/New Test Case,Chrome 74.0.3729.157,,2019-05-15 15:23:32,2019-05-15 15:23:41,9.046s,FAILED
"openBrowser(""www.ksl.com"")",Chrome 74.0.3729.157,,2019-05-15 15:23:32,2019-05-15 15:23:41,8.439s,PASSED
clickImage(findTestObject(null)),Chrome 74.0.3729.157,,2019-05-15 15:23:41,2019-05-15 15:23:41,0.461s,FAILED
,,,,,,
Test Cases/Ignite Test,Chrome 74.0.3729.157,,2019-05-15 15:23:41,2019-05-15 15:23:44,2.358s,PASSED
"openBrowser(""dev-aim.clearlink.com"")",Chrome 74.0.3729.157,,2019-05-15 15:23:41,2019-05-15 15:23:44,2.349s,PASSED
